,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
275,02-03,0.6,0.0,1.5,-2.3,6.7
276,02-04,0.7,0.0,0.9,-2.9,3.2
277,02-05,0.9,0.5,1.2,-1.5,2.3
278,02-06,0.8,0.0,-1.7,-4.4,2.6
279,02-07,1.0,0.0,-2.0,-5.6,3.0
280,02-08,1.2,0.0,-2.2,-4.9,0.6
281,02-09,1.2,0.0,-5.3,-7.1,-2.1
282,02-10,1.2,0.0,-6.6,-9.3,-2.5
283,02-11,0.8,0.0,-4.8,-9.2,0.8
284,02-12,0.6,0.0,-2.2,-7.4,4.2
285,02-13,0.6,0.0,0.1,-5.4,6.1
286,02-14,0.6,0.0,0.3,-4.0,6.5
287,02-15,0.7,0.0,1.8,-3.9,8.0
288,02-16,0.8,0.0,5.5,-1.9,10.3
289,02-17,1.1,4.0,0.8,-5.2,9.0
290,02-18,1.6,0.0,-2.6,-7.0,2.9
291,02-19,1.7,1.0,2.3,-3.4,5.7
292,02-20,2.0,0.5,-1.5,-5.2,5.4
293,02-21,1.9,0.0,-0.6,-7.6,6.9
294,02-22,1.8,5.1,1.7,-0.9,2.9
295,02-23,1.7,0.0,-1.5,-4.2,2.1
296,02-24,1.4,0.0,-0.8,-5.8,4.4
297,02-25,1.2,0.0,2.6,-2.8,8.4
298,02-26,1.4,0.0,3.6,-1.5,10.1
299,02-27,1.6,0.0,3.7,-1.8,10.7
300,02-28,1.8,0.0,5.6,-1.3,12.3
301,03-01,2.3,5.0,5.0,2.0,11.4
302,03-03,3.3,0.0,3.3,-3.1,10.4
303,03-04,4.0,0.0,5.7,0.1,12.7
304,03-05,4.6,0.5,5.2,1.2,10.4
305,03-06,5.0,0.0,0.1,-2.8,4.0
306,03-07,4.5,0.0,-1.3,-4.0,2.9
307,03-08,3.6,0.0,-0.1,-5.3,5.0
308,03-09,2.7,0.0,3.2,-2.7,10.7
309,03-10,2.7,0.0,4.8,-1.2,12.2
310,03-11,2.9,0.0,7.3,-0.2,16.7
311,03-12,3.2,0.0,8.2,4.4,14.0
312,03-13,3.7,0.0,6.9,1.5,12.2
313,03-14,4.6,0.0,5.8,1.0,10.9
314,03-15,5.9,0.0,6.3,0.4,13.3
315,03-16,7.8,0.0,6.2,1.0,13.4
316,03-17,8.8,0.0,7.7,1.2,15.7
317,03-18,9.6,0.0,9.5,5.9,16.1
318,03-19,10.4,0.0,10.9,3.2,18.9
319,03-20,10.5,0.0,10.2,6.0,15.5
320,03-21,11.8,0.0,7.4,4.3,12.6
321,03-22,12.8,0.0,7.6,1.9,14.1
322,03-23,13.3,0.0,9.1,5.1,15.0
323,03-24,14.7,0.0,8.7,3.9,15.2
324,03-25,15.1,0.0,8.1,5.0,12.6
325,03-26,14.2,0.0,7.3,4.8,11.6
326,03-27,13.3,0.4,6.1,4.4,10.9
327,03-28,11.4,0.0,7.1,2.5,12.7
328,03-29,10.9,0.0,8.8,4.7,14.4
329,03-30,11.3,0.0,10.6,4.1,17.1
330,03-31,11.6,1.5,8.6,4.9,12.4
331,04-01,11.8,1.0,9.0,4.8,15.1
332,04-02,11.9,0.0,9.0,3.1,15.8
333,04-03,12.1,0.0,11.4,4.3,19.2
334,04-04,14.4,0.0,14.1,6.7,21.8
335,04-05,18.4,37.5,12.0,10.8,14.2
336,04-06,20.8,3.0,10.4,9.4,12.4
337,04-07,21.5,0.0,14.5,9.0,23.5
338,04-08,26.4,0.5,13.0,8.6,19.9
339,04-09,31.8,0.5,14.8,10.6,20.5
340,04-10,39.7,0.0,16.5,10.1,23.3
